gameId,season,week,gameDate,gameTimeEastern,gameTimeLocal,homeTeamId,visitorTeamId,seasonType,weekNameAbbr,siteId,homeTeamDistance,visitingTeamDistance,homeTeamFinalScore,visitingTeamFinalScore,winningTeam
27034,2004,9,2004-11-07,16:05:00,13:05:00,4500,4600,REG,Week 9,1007,32,677,27,42,4600
27038,2004,9,2004-11-08,21:00:00,20:00:00,2200,3000,REG,Week 9,2878,8,511,31,28,2200
27042,2004,10,2004-11-14,13:04:00,13:04:00,2250,1540,REG,Week 10,2049,1,829,23,17,2250
27043,2004,10,2004-11-14,13:02:00,12:02:00,3300,2310,REG,Week 10,2870,9,676,27,20,3300
27044,2004,10,2004-11-14,13:02:00,13:02:00,3430,325,REG,Week 10,3757,17,173,17,20,325
27039,2004,10,2004-11-14,13:05:00,13:05:00,200,4900,REG,Week 10,1001,41,416,24,14,200
27040,2004,10,2004-11-14,13:03:00,13:03:00,1050,3900,REG,Week 10,1048,13,117,10,24,3900
27041,2004,10,2004-11-14,13:00:00,12:00:00,2200,2120,REG,Week 10,2878,8,871,49,14,2200
27045,2004,10,2004-11-14,13:02:00,12:02:00,2510,4600,REG,Week 10,1006,17,1713,23,12,2510
27049,2004,10,2004-11-14,16:15:00,15:15:00,1800,3000,REG,Week 10,2606,1,265,34,31,1800
27050,2004,10,2004-11-14,16:15:00,13:15:00,4500,750,REG,Week 10,1007,32,2296,27,37,750
27051,2004,10,2004-11-14,20:36:00,20:36:00,3200,610,REG,Week 10,1065,2,385,29,6,3200
27046,2004,10,2004-11-14,13:03:00,12:03:00,2100,810,REG,Week 10,2350,3,424,17,19,810
27047,2004,10,2004-11-14,16:06:00,16:06:00,5110,920,REG,Week 10,2389,34,411,10,17,920
27048,2004,10,2004-11-14,16:15:00,14:15:00,3800,3410,REG,Week 10,1907,6,2129,17,14,3800
27052,2004,10,2004-11-15,21:09:00,20:09:00,1200,3700,REG,Week 10,4948,13,1312,21,49,3700
27057,2004,11,2004-11-21,13:03:00,13:03:00,920,3900,REG,Week 11,3530,1,258,14,19,3900
27058,2004,11,2004-11-21,13:02:00,13:02:00,1050,3430,REG,Week 11,1048,13,384,7,10,3430
27059,2004,11,2004-11-21,13:02:00,13:02:00,2250,2100,REG,Week 11,2049,1,503,15,18,2100
27056,2004,11,2004-11-21,13:02:00,12:02:00,810,2200,REG,Week 11,4620,29,156,10,41,2200
27053,2004,11,2004-11-21,13:02:00,13:02:00,325,1200,REG,Week 11,3695,13,1216,30,10,325
27054,2004,11,2004-11-21,13:02:00,13:02:00,610,2510,REG,Week 11,3770,2,670,37,17,610
27055,2004,11,2004-11-21,13:04:00,13:04:00,750,3800,REG,Week 11,1769,1,1772,35,10,750
27060,2004,11,2004-11-21,13:00:00,12:00:00,3000,1540,REG,Week 11,1004,12,536,22,19,3000
27065,2004,11,2004-11-21,16:15:00,16:15:00,3410,200,REG,Week 11,3757,1,707,10,14,200
27066,2004,11,2004-11-21,16:16:00,16:16:00,3700,5110,REG,Week 11,2769,2,137,28,6,3700
27067,2004,11,2004-11-21,20:35:00,19:35:00,2120,1800,REG,Week 11,3698,1,1099,13,16,1800
27064,2004,11,2004-11-21,16:06:00,13:06:00,4600,2700,REG,Week 11,5315,9,2715,24,17,4600
27061,2004,11,2004-11-21,13:03:00,12:03:00,3300,1400,REG,Week 11,2870,9,1068,13,34,1400
27062,2004,11,2004-11-21,13:01:00,13:01:00,4900,4500,REG,Week 11,3697,1,2366,35,3,4900
27063,2004,11,2004-11-21,16:05:00,13:05:00,2520,4400,REG,Week 11,3225,3,445,17,23,4400
27068,2004,11,2004-11-22,21:00:00,20:00:00,2310,3200,REG,Week 11,1552,1,1234,19,27,3200
27069,2004,12,2004-11-25,12:38:00,12:38:00,1540,2200,REG,Week 12,2026,10,240,9,41,2200
27070,2004,12,2004-11-25,16:36:00,15:36:00,1200,810,REG,Week 12,4948,13,827,21,7,1200
27074,2004,12,2004-11-28,13:00:00,12:00:00,2310,4400,REG,Week 12,1552,1,1334,31,34,4400
27075,2004,12,2004-11-28,13:00:00,12:00:00,3000,2250,REG,Week 12,1004,12,1192,27,16,3000
27076,2004,12,2004-11-28,16:16:00,16:16:00,3200,325,REG,Week 12,1065,2,343,24,3,3200
27071,2004,12,2004-11-28,13:04:00,13:04:00,750,4900,REG,Week 12,1769,1,510,21,14,750
27072,2004,12,2004-11-28,13:02:00,13:02:00,920,1050,REG,Week 12,3530,1,210,58,48,920
27073,2004,12,2004-11-28,13:05:00,12:05:00,2120,2100,REG,Week 12,3698,1,671,31,21,2120
27077,2004,12,2004-11-28,13:03:00,13:03:00,3410,3700,REG,Week 12,3757,1,85,6,27,3700
27081,2004,12,2004-11-28,16:15:00,13:15:00,4500,2700,REG,Week 12,1007,32,2577,17,24,2700
27082,2004,12,2004-11-28,16:16:00,13:16:00,4600,610,REG,Week 12,5315,9,2120,9,38,610
27083,2004,12,2004-11-28,20:36:00,18:36:00,1400,2520,REG,Week 12,5786,14,937,24,25,2520
27078,2004,12,2004-11-28,13:02:00,13:02:00,3900,5110,REG,Week 12,5411,2,166,16,7,3900
27079,2004,12,2004-11-28,16:05:00,16:05:00,200,3300,REG,Week 12,1001,41,428,24,21,200
27080,2004,12,2004-11-28,16:16:00,14:16:00,3800,3430,REG,Week 12,1907,6,2113,3,13,3430
27084,2004,12,2004-11-29,21:09:00,20:09:00,1800,2510,REG,Week 12,2606,1,415,45,17,1800
27089,2004,13,2004-12-05,13:02:00,12:02:00,2200,2100,REG,Week 13,2878,8,249,51,24,2200
27090,2004,13,2004-12-05,13:03:00,13:03:00,2700,610,REG,Week 13,2475,8,1164,32,42,610
27091,2004,13,2004-12-05,13:03:00,12:03:00,3300,750,REG,Week 13,2870,9,649,21,32,750
27088,2004,13,2004-12-05,13:03:00,13:03:00,1540,3800,REG,Week 13,2026,10,1685,26,12,1540
27085,2004,13,2004-12-05,13:02:00,13:02:00,325,920,REG,Week 13,3695,13,422,26,27,920
